procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  14168  98544  37744 1183504    8    0   140    52 2227  928  6 20 72  2  0
 0  0  14168  98512  37768 1183508    0    0     0   812 3648  484  1 24 62 13  0
 0  0  14168  98512  37768 1183508    0    0     0     0 2306  316  1 16 83  0  0
 0  0  14168  98512  37768 1183512    0    0     0     0 3753  402  1 24 74  0  0
 0  0  14168 115768  37768 1183512    0    0     0     0 2990  452  3 22 74  0  0
 1  0  14168 114936  37768 1183512    0    0     0     0 2596  284  0 16 84  0  0
 0  0  14168 115768  37776 1183516    0    0     0    16 3112  338  2 18 80  0  0
 0  0  14168 115768  37776 1183516    0    0     0     0 3600  444  4 21 75  0  0
 1  0  14168 115672  37776 1183520    0    0     0     0 3043  346  1 19 80  0  0
 0  0  14168 115768  37776 1183520    0    0     0     0 3344  375  2 19 79  0  0
 0  0  14168 115768  37776 1183524    0    0     0    64 2425  291  0 15 85  0  0
 0  0  14168 102892  37784 1183488    0    0     0    36 1703  597  3 13 82  1  0
 0  0  14168 102884  37784 1183492    0    0     0     0 2918  390  2 18 80  0  0
 0  0  14168 102892  37784 1183492    0    0     0     0 3537  460  0 24 76  0  0
 0  0  14168 102892  37784 1183496    0    0     0     0 3752  469  2 26 72  0  0
 0  0  14168 117124  37784 1183496    0    0     0     0 3424  499  3 25 72  0  0
 0  0  14168 117124  37792 1183496    0    0     0    24 3124  392  1 20 79  0  0
 0  0  14168 117124  37792 1183500    0    0     0     0 2891  360  2 18 80  0  0
 0  0  14168 117124  37792 1183504    0    0     0     0 3044  413  4 17 79  0  0
 0  0  14168 117124  37792 1183508    0    0     0     0 3679  444  1 21 78  0  0
 0  0  14168 117124  37792 1183508    0    0     0     0 3098  393  1 21 78  0  0
 0  0  14168 117124  37800 1183512    0    0     0    72 2961  450  0 21 79  0  0
 0  0  14168 117124  37800 1183512    0    0     0     0 2838  326  2 18 80  0  0
 1  0  14168 117124  37800 1183512    0    0     0     0 2770  310  2 15 83  0  0
 0  0  14168 117124  37800 1183516    0    0     0     0 3269  353  1 17 82  0  0
 0  0  14168 117124  37800 1183516    0    0     0     0 2697  352  0 16 84  0  0
 0  0  14168 117124  37808 1183520    0    0     0    16 2632  371  3 15 80  1  0
 0  0  14168 117124  37808 1183520    0    0     0     0 2758  333  0 20 80  0  0
 0  0  14168 117124  37808 1183524    0    0     0     0 3223  349  2 18 80  0  0
 0  0  14168 117124  37808 1183524    0    0     0     0 2035  305  2 17 81  0  0
 0  0  14168 117116  37808 1183528    0    0     0     0 3544  397  0 23 77  0  0
 0  0  14168 117124  37808 1183528    0    0     0   148 3546  402  2 23 75  0  0
 0  0  14168 117124  37816 1183532    0    0     0    36 2750  381  2 18 77  3  0
 0  0  14168 117124  37816 1183532    0    0     0     0 2918  329  1 17 82  0  0
 0  0  14168 117124  37816 1183532    0    0     0     0 3200  341  3 19 78  0  0
 0  0  14168 117124  37816 1183536    0    0     0     0 2243  292  1 15 84  0  0
 0  0  14168 117124  37816 1183536    0    0     0     0 3385  326  1 18 81  0  0
 0  0  14168 117124  37824 1183540    0    0     0    16 3152  368  1 20 79  0  0
 0  0  14168 117092  37824 1183540    0    0     0     0 2314  319  1 17 82  0  0
 0  0  14168 117124  37824 1183544    0    0     0     0 3267  365  0 22 78  0  0
 0  0  14168 117124  37824 1183544    0    0     0     0 2553  384  3 13 84  0  0
 0  0  14168 117124  37824 1183548    0    0     0    68 2191  290  1 12 87  0  0
 0  0  14168 117124  37832 1183548    0    0     0    28 2929  341  1 19 79  1  0
 0  0  14168 117124  37832 1183548    0    0     0     0 3079  380  0 19 81  0  0
 1  0  14168 117124  37832 1183552    0    0     0     0 3281  383  2 20 78  0  0
 0  0  14168 117116  37832 1183552    0    0     0     0 2919  342  1 20 79  0  0
 0  0  14168 117124  37832 1183556    0    0     0     0 2756  307  1 15 84  0  0
 0  0  14168 117124  37840 1183556    0    0     0    16 2589  292  1 14 84  1  0
 0  0  14168 117124  37840 1183560    0    0     0     0 2598  331  0 16 84  0  0
 0  0  14168 117124  37840 1183560    0    0     0     0 3168  349  1 18 81  0  0
 0  0  14168 117376  37840 1183564    0    0     0     0 2523  388  2 15 82  0  0
 0  0  14168 117376  37840 1183564    0    0     0    28 2449  348  3 13 84  0  0
 0  0  14168 117376  37848 1183568    0    0     0    16 2850  786  3 18 78  1  0
 0  0  14168 117376  37848 1183568    0    0     0     0 2663  813  4 16 79  0  0
 0  0  14168 117376  37848 1183568    0    0     0     0 2410  347  1 15 84  0  0
 0  0  14168 117376  37848 1183572    0    0     0     0 2802  337  0 20 80  0  0
 0  0  14168 117376  37848 1183572    0    0     0     0 3396  381  1 22 77  0  0
 0  0  14168 117248  37856 1183576    0    0     0    16 2711  346  1 17 81  1  0
 0  0  14168 117376  37856 1183576    0    0     0     0 3158  285  0 21 79  0  0
 0  0  14168 117376  37856 1183580    0    0     0     0 2479  266  1 15 84  0  0
 0  0  14168 117376  37856 1183580    0    0     0     0 2652  326  3 14 82  0  0
 0  0  14168 117376  37856 1183580    0    0     0     0 2986  333  1 20 79  0  0
 0  0  14168 117376  37864 1183584    0    0     0    16 2947  402  4 18 77  1  0
 0  0  14168 117376  37864 1183584    0    0     0     0 3067  348  1 20 79  0  0
 0  0  14168 117376  37864 1183588    0    0     0     0 2553  288  2 16 82  0  0
 1  0  14168 117056  37864 1183588    0    0     0     0 2221  290  1 15 84  0  0
 2  0  14168 117056  37864 1183592    0    0     0     0 3608  380  0 23 77  0  0
 3  0  14168 117248  37872 1183592    0    0     0    16 2845  352  1 18 81  0  0
 2  0  14168 116896  37872 1183600    0    0     0     0 2711  366  0 20 80  0  0
 1  0  14168 116864  37872 1183600    0    0     0     0 3178  374  2 20 78  0  0
 1  0  14168 117184  37872 1183604    0    0     0     0 3119  337  1 22 77  0  0
 3  0  14168 115712  37872 1183604    0    0     0     0 2555  274  1 15 84  0  0
 1  0  14168 116996  37880 1183608    0    0     0    92 2549  351  0 19 81  0  0
 1  0  14168 116932  37880 1183612    0    0     0     0 3170  388  3 18 79  0  0
 3  0  14168 116036  37880 1183612    0    0     0     0 3261  412  1 24 75  0  0
 0  0  14168 117124  37880 1183616    0    0     0     0 2259  347  1 14 85  0  0
 2  0  14168 116484  37880 1183616    0    0     0     0 2851  332  0 21 79  0  0
 3  0  14168 116676  37888 1183620    0    0     0    16 2232  347  0 13 85  2  0
 1  0  14168 116996  37888 1183620    0    0     0     0 2426  368  2 19 79  0  0
 3  0  14168 116996  37888 1183624    0    0     0     0 2856  345  1 17 82  0  0
