procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2268044  52452 938000    0    0     0     0 6273  664  0  2 98  0  0
 0  0      0 2267604  52452 938000    0    0     0     0 6228  642  0  2 98  0  0
 1  0      0 2269936  52452 938004    0    0     0     0 5555  626  0  2 98  0  0
 0  0      0 2268368  52452 938008    0    0     0     0 4863  636  0  2 98  0  0
 0  0      0 2267848  52460 938008    0    0     0    16 6326  762  0  3 97  0  0
 0  0      0 2269724  52460 938016    0    0     0     8 4644  554  0  1 99  0  0
 0  0      0 2269880  52460 938020    0    0     0     0 4742  696  0  3 97  0  0
 0  0      0 2269688  52460 938020    0    0     0     0 3518  603  0  1 99  0  0
 1  0      0 2269208  52460 938020    0    0     0     0 3291  556  0  3 97  0  0
 1  0      0 2269936  52468 938028    0    0     0    24 4785  639  0  2 97  0  0
 0  0      0 2267660  52468 938028    0    0     0    16 4715  736  0  2 97  0  0
 0  0      0 2267596  52468 938032    0    0     0     0 6062  632  1  2 97  0  0
 0  0      0 2268380  52468 938036    0    0     0     0 6247  685  1  2 97  0  0
 0  0      0 2268568  52468 938040    0    0     0     0 6337  715  0  3 97  0  0
 0  0      0 2267160  52476 938040    0    0     0    16 6193  704  0  2 98  0  0
 1  0      0 2267048  52476 938044    0    0     0     0 6334  658  0  3 97  0  0
 1  0      0 2266536  52476 938048    0    0     0     0 6374  747  1  3 96  0  0
 0  0      0 2268644  52476 938048    0    0     0     0 6194  671  0  2 98  0  0
 1  0      0 2268636  52476 938052    0    0     0     0 6181  746  1  3 97  0  0
 1  0      0 2269348  52484 938052    0    0     0    16 5812  693  1  2 97  0  0
 1  0      0 2268588  52484 938056    0    0     0     0 6028  736  0  2 97  0  0
 1  0      0 2267716  52484 938060    0    0     0     0 5654  683  1  3 97  0  0
 0  0      0 2267156  52484 938064    0    0     0     0 5763  693  1  3 96  0  0
 1  0      0 2265508  52484 938064    0    0     0     0 6286  693  0  3 97  0  0
 0  0      0 2266188  52492 938064    0    0     0    16 6330  674  1  3 97  0  0
 0  0      0 2265836  52492 938068    0    0     0    84 6373  781  0  2 98  0  0
 1  0      0 2267140  52492 938072    0    0     0     0 6500  818  0  4 96  0  0
 0  0      0 2269304  52492 938076    0    0     0     0 5804  654  0  2 98  0  0
 0  0      0 2267844  52500 938080    0    0     0    48 5413  758  0  2 97  0  0
 0  0      0 2267324  52500 938080    0    0     0     0 6235  652  1  2 98  0  0
 1  0      0 2269644  52500 938084    0    0     0     0 6263  637  0  3 97  0  0
 0  0      0 2269532  52500 938096    0    0     0     0 5357  657  1  2 97  0  0
